"","Camp","Burn440_Area","PreburnAr","Prop_HabBurn440"
"1","Albany Creek, Kingfisher Street",14223203.4369154,971718023.758305,0.0146371715756639
"2","Alexandra Hills, Lawn Terrace",4216795.4862554,655882468.00548,0.00642919378387801
"3","Allora (Dalrymple Creek)",253850202.4716,772346962.07789,0.328673789029547
"4","Allora (Dalrymple Park Reserve)",253832964.8856,774139081.91329,0.327890647580084
"5","Andrea Ahern Bushland Park",11040829.373648,615217024.7414,0.0179462351164435
"6","Anembo Lakes, Torquay",14753500.73062,730819733.048144,0.0201876058670245
"7","Atkinsons Dam",89769236.94217,926404841.72073,0.0969006560624512
"8","Aucklalnd Inlet",11667222.722116,135965565.0487,0.085810129336329
"9","Avoca, McCoys Creek",6272285.12929,489924242.28747,0.0128025612694822
"10","Banora Point East, Elsie Street",20483807.5254967,305014504.83589,0.0671568309071656
"11","Banora Point, Barneys Point Rd",20453374.0354967,295826695.17489,0.0691397171692192
"12","Banora Point, Darlington Drive",20483807.5254967,310044130.78689,0.0660673932885261
"13","Banora Point, Toolona Ave",20483807.5254967,307011970.35589,0.0667198985816473
"14","Beenleigh, Logan St",11224150.0567574,592356237.539171,0.0189483107384603
"15","Bellara, Warrigal Street",5556318.1824254,661686696.50487,0.0083972040117698
"16","Birkdale, Collingwood Rd",4568838.0254534,665474106.17028,0.00686553839299096
"17","Birkdale, Tarradarrapin",4285922.9161554,643179397.31648,0.0066636508166111
"18","Bongaree, Shirley Creek",5961095.1284254,656051706.26302,0.00908631906832587
"19","Boonah, Bicentenial Park",328268934.96833,974201402.08206,0.336962084294638
"20","Boronia Heights, Warana Ct",10239994.2738574,695708111.39096,0.0147188082274679
"21","Boyne Island",14486461.5380902,211206645.0547,0.0685890424249596
"22","Broadbeach, Cascade Gardens",20436157.404319,408897152.11199,0.0499787227638159
"23","Broadbeach, Jupiters Casino",20436157.404319,411457883.488631,0.0496676773599446
"24","Bundaberg, Baldwin Swamp Environment Park",8560276.660862,484566978.71697,0.0176658275054726
"25","Bundamba, Paice St",12595007.1827174,774870036.09056,0.0162543479500934
"26","Bundgeam, Moore Park",126321797.52031,905772801.66016,0.139463005831903
"27","Burleigh Knoll, Burleigh Street, Burleigh Waters",20412602.291268,409255414.80244,0.0498774153082905
"28","Burleigh, Marymount College",20772995.904768,409224980.45028,0.0507617982702595
"29","Burpengary Equestrian",16615014.5562054,975492428.82556,0.0170324382488637
"30","Burringbar",12837479.49199,396379322.05797,0.0323868546556335
"31","Burrum River (upper), Junction Cherwell River",14980979.03002,952287975.521844,0.0157315637864802
"32","Caboolture, Wararba Creek",17609725.0220854,1053655311.47108,0.0167129846263474
"33","Calamvale, Golden Avenue",18270606.2649854,759136896.82164,0.0240676040665141
"34","Calliope",9918993.29689,141342406.0162,0.0701770514346072
