"","Camp","Burn440_Area","PreburnAr","ProportionHabBurn"
"1","Alexandra Hills, Lawn Terrace",82757447.621255,1940627266.65887,0.0426446897057859
"2","Allora (Dalrymple Creek)",105763385.684189,1727318832.82109,0.0612297994293585
"3","Allora (Dalrymple Park Reserve)",106096867.048749,1736446759.06599,0.061099982763547
"4","Amamoor State Forest",133832897.616674,4331333562.7144,0.0308987741717131
"5","Arundal, Biggera Creek",30230312.651883,1950670728.72392,0.0154973938998197
"6","Baffle Estuary, Baffle Creek",202041281.33713,2198203112.6393,0.0919120167628853
"7","Bargara, Larder Street",34003599.49397,1234970690.32346,0.0275339323924067
"8","Beenleigh, Logan St",101883930.009558,2060068804.42295,0.0494565665917634
"9","Bellara, Warrigal Street",51320882.6948346,2010493732.6666,0.0255265071763072
"10","Birkdale, Tarradarrapin",79457790.21957,1879678120.74007,0.042272019524431
"11","Boonah - Mount French",207815118.118166,2612349482.12138,0.0795510399892621
"12","Boonah, Bicentenial Park",207659867.955101,2837912620.53809,0.0731734537745306
"13","Boonaroo, Boonaroo Point",93088590.698079,3526246491.13366,0.0263987758462545
"14","Broadbeach, Cascade Gardens",19513533.4222265,1887868229.78548,0.0103362793622751
"15","Bundaberg, Harriet Island/Don Tallon Bridge",104668182.14633,1817044218.8147,0.057603541544304
"16","Bundall, Gold Coast Turf Club",21108643.945173,1928508453.31197,0.0109455802015913
"17","Bundamba, Paice St",111530858.076596,2200632051.02881,0.050681284054031
"18","Bundgeam, Moore Park",49369770.1713783,3459836137.32802,0.0142693954892054
"19","Burleigh, Marymount College",17847811.115532,2052746645.88034,0.00869460006248252
"20","Burpengary",74649545.6579436,2650826620.41153,0.0281608555924169
"21","Burpengary Equestrian",75512066.0646536,2654768645.28563,0.0284439347280784
"22","Burrum River (upper), Junction Cherwell River",109093196.184258,3252269726.55042,0.0335437111177029
"23","Caboolture, Wararba Creek",86621218.4646836,2875736119.7856,0.0301214071307564
"24","Calamvale, Earnshaw St.",103403393.103115,2325124957.84483,0.0444721875072728
"25","Camira, Pilney Reserve (Barbara Street)",104287358.906735,2245684444.50662,0.0464390084554587
"26","Canungra, Beachmont Rd",102792808.620077,2802256186.45117,0.0366821595816533
"27","Carrara, Edelsten Court",33749081.237063,2096399555.66056,0.0160985920579576
"28","Carrara, Gooding Drive",23929002.551685,2014921335.1593,0.0118758991401484
"29","Carrara, Nerang Broadbeach Road",35819564.178983,2093583672.68328,0.0171092107023715
"30","Cedar Grove, Brushwood Cres.",116534616.209993,2419676256.57262,0.0481612430148238
"31","Cedar Vale, Banksia Court",116239828.254653,2485368641.43158,0.0467696527255202
"32","Cherry Gully, Warwick",77624128.01308,1988647605.79264,0.0390336265645921
"33","Childers (Mango Hill Road)",122096623.870726,3096281072.47113,0.0394333140347886
"34","Chuwar, Brodzig Road",105560985.778725,2212216839.11516,0.0477172869821148
"35","Cleveland, Black Swamp",76572764.285461,1717400139.58107,0.0445864434971687
"36","Coalstoun Lakes Recreation Reserve",232312394.811584,2057450308.4038,0.112912760936528
"37","Conondale, Herron Rd",147940001.271747,4034569520.46362,0.0366681006539569
"38","Coochiemudlo Island",70436327.261708,1466307320.5949,0.0480365379565391
"39","Coolamon, Currumbin Valley (Nicolls Scrub)",15403588.051496,2253386301.66787,0.00683575117151234
"40","Coolum, Cassia Wildlife Corridor & Elizabeth St Drain",38365290.428984,2444481827.04682,0.0156946515226637
"41","Coolum, Hyatt",42151437.5874286,2458795010.79872,0.0171431279965612
"42","Coombabah, Coombabah Creek",30379355.940923,1914859763.28213,0.0158650552502351
"43","Cooran - Yellow Belly Reserve",82778097.604594,3891496935.05042,0.0212715309779684
"44","Currumbin Creek",15211444.263475,2046071096.39198,0.00743446515143032
"45","Dalby, Myall Creek",7558607.79223857,177013332.56103,0.0427007823810816
"46","Dalby, Wood Street",7531582.72023857,166961437.203035,0.0451097142334713
"47","Dayboro, Railway Street",72079071.8351527,2627580564.53714,0.0274317266644305
"48","Dayboro, Strong Road",70472975.1570498,2595553422.36567,0.0271514254146303
"49","Dundowran, Jimilee Street",63580142.512855,2906206079.22502,0.0218773689062716
"50","Dundowran, O'Reagans Creek CP",71879926.925655,2908903126.66402,0.0247103199370163
"51","Eagleby, Dreyer Road (Carbrook Golf Course)",89722227.255158,1909028111.07745,0.0469989031248571
"52","East Brisbane, Norman Creek (Heath Park/Giffin Par",108557902.26843,2367604520.00041,0.045851366371108
"53","Eerwah Vale",69100116.521614,3448930295.54388,0.0200352313906991
"54","Ellen Grove, Waterford Rd",101388575.948035,2281469583.47984,0.0444400296555305
"55","Esk",178897259.72476,2753847373.13855,0.0649626633159671
"56","Ferny Hills, Kylie Ave",110314642.844783,2378596090.42668,0.0463780476596153
"57","Fraser Island, Cornwell's Break",24622040.214696,2228561916.11683,0.0110483985374743
"58","Gatton, Amaroo Retirement Village, Tenthill Creek",198822050.645446,2076246570.72695,0.0957603270481661
"59","Gayndah Township",215393034.762984,1084546626.46622,0.198601913008387
"60","Gayndah, Brambah Ck",215442897.83695,1283607121.90422,0.167841775073157
"61","Glen Aplin Caravan Park",73270802.4194028,1373083343.29962,0.0533622396462313
"62","Glenwood Varley Road",165843612.780312,4117100410.29563,0.040281653652553
"63","Goodna, Woogaroo Creek",101049290.836245,2196515797.44257,0.0460043542386073
"64","Goomboorian, Anderleigh Rd Ginger Creek",100800470.35553,3873734375.61589,0.0260215235691022
"65","Gympie Township, Widgee Crossing",148042289.222714,4273209937.18573,0.0346442817925796
"66","Hampton, Wockner Rd",142005307.612602,1664286541.83275,0.0853250351085712
"67","Helensvale, Mildura Drive",68367376.351303,2092065395.17619,0.0326793686798425
"68","Helidon, Gunn Street",184104157.934946,1805283991.50002,0.101980718159459
"69","Hemmant, Lytton Road",97900056.5168831,2295289204.02083,0.0426526018357008
