"camp.name","state","lat","long","date","ghff.count","bff.count","lrff.count","ff.presence","sff.count","ff.count","ghff.presence","bff.presence","lrff.presence","sff.presence","season","year_season","year","fire_rel","tot.hab","wint.hab","rel_fire","tot.hab.burn","prop.tot.burn","wint.hab.burn","prop.wint.burn","dist.fire.m"
"Alexandra Hills, Lawn Terrace","QLD",-27.51649,153.20968,2011-09-16,4500,500,0,1,0,5000,1,1,0,0,"spring","2011_spring",2011,0,194062.726665887,66700.631943865,"pre",0,0,0,0,50000
"Alexandra Hills, Lawn Terrace","QLD",-27.51649,153.20968,2012-08-17,0,2000,0,1,0,2000,0,1,0,0,"winter","2012_winter",2012,0,194062.726665887,66700.631943865,"pre",0,0,0,0,50000
"Alexandra Hills, Lawn Terrace","QLD",-27.51649,153.20968,2011-11-19,4000,1000,0,1,0,5000,1,1,0,0,"spring","2011_spring",2011,0,194062.726665887,66700.631943865,"pre",0,0,0,0,50000
"Alexandra Hills, Lawn Terrace","QLD",-27.51649,153.20968,2011-12-16,900,100,0,1,0,1000,1,1,0,0,"summer","2011_summer",2011,0,194062.726665887,66700.631943865,"pre",0,0,0,0,50000
"Alexandra Hills, Lawn Terrace","QLD",-27.51649,153.20968,2012-01-20,900,100,0,1,0,1000,1,1,0,0,"summer","2012_summer",2012,0,194062.726665887,66700.631943865,"pre",0,0,0,0,50000
"Alexandra Hills, Lawn Terrace","QLD",-27.51649,153.20968,2011-10-21,2700,300,0,1,0,3000,1,1,0,0,"spring","2011_spring",2011,0,194062.726665887,66700.631943865,"pre",0,0,0,0,50000
"Alexandra Hills, Lawn Terrace","QLD",-27.51649,153.20968,2012-03-16,1080,120,0,1,0,1200,1,1,0,0,"autumn","2012_autumn",2012,0,194062.726665887,66700.631943865,"pre",0,0,0,0,50000
"Alexandra Hills, Lawn Terrace","QLD",-27.51649,153.20968,2012-04-20,0,1000,0,1,0,1000,0,1,0,0,"autumn","2012_autumn",2012,0,194062.726665887,66700.631943865,"pre",0,0,0,0,50000
"Alexandra Hills, Lawn Terrace","QLD",-27.51649,153.20968,2012-06-15,0,1000,0,1,0,1000,0,1,0,0,"winter","2012_winter",2012,0,194062.726665887,66700.631943865,"pre",0,0,0,0,50000
"Alexandra Hills, Lawn Terrace","QLD",-27.51649,153.20968,2012-02-18,900,100,0,1,0,1000,1,1,0,0,"summer","2012_summer",2012,0,194062.726665887,66700.631943865,"pre",0,0,0,0,50000
"Alexandra Hills, Lawn Terrace","QLD",-27.51649,153.20968,2012-07-21,0,1500,0,1,0,1500,0,1,0,0,"winter","2012_winter",2012,0,194062.726665887,66700.631943865,"pre",0,0,0,0,50000
"Allora (Dalrymple Creek)","QLD",-28.028018,151.983746,2011-10-20,20,190,210,1,0,420,1,1,1,0,"spring","2011_spring",2011,0,172731.883282109,77310.899189549,"pre",0,0,0,0,50000
"Allora (Dalrymple Creek)","QLD",-28.028018,151.983746,2012-01-24,0,400,0,1,0,400,0,1,0,0,"summer","2012_summer",2012,0,172731.883282109,77310.899189549,"pre",0,0,0,0,50000
"Allora (Dalrymple Creek)","QLD",-28.028018,151.983746,2012-04-20,0,600,0,1,0,600,0,1,0,0,"autumn","2012_autumn",2012,0,172731.883282109,77310.899189549,"pre",0,0,0,0,50000
"Allora (Dalrymple Creek)","QLD",-28.028018,151.983746,2012-06-01,30,320,0,1,0,350,1,1,0,0,"winter","2012_winter",2012,0,172731.883282109,77310.899189549,"pre",0,0,0,0,50000
"Allora (Dalrymple Creek)","QLD",-28.028018,151.983746,2012-07-20,0,350,0,1,0,350,0,1,0,0,"winter","2012_winter",2012,0,172731.883282109,77310.899189549,"pre",0,0,0,0,50000
"Allora (Dalrymple Park Reserve)","QLD",-28.031389,151.984722,2012-04-20,0,0,0,0,0,0,0,0,0,0,"autumn","2012_autumn",2012,0,173644.675906599,77504.559591089,"pre",0,0,0,0,50000
"Allora (Dalrymple Park Reserve)","QLD",-28.031389,151.984722,2012-01-24,0,0,0,0,0,0,0,0,0,0,"summer","2012_summer",2012,0,173644.675906599,77504.559591089,"pre",0,0,0,0,50000
"Allora (Dalrymple Park Reserve)","QLD",-28.031389,151.984722,2012-07-20,0,0,0,0,0,0,0,0,0,0,"winter","2012_winter",2012,0,173644.675906599,77504.559591089,"pre",0,0,0,0,50000
"Arundal, Biggera Creek","QLD",-27.947877,153.380878,2012-02-17,0,0,0,0,0,0,0,0,0,0,"summer","2012_summer",2012,0,195067.072872392,47801.846588103,"pre",0,0,0,0,50000
"Arundal, Biggera Creek","QLD",-27.947877,153.380878,2011-09-16,0,0,0,0,0,0,0,0,0,0,"spring","2011_spring",2011,0,195067.072872392,47801.846588103,"pre",0,0,0,0,50000
"Arundal, Biggera Creek","QLD",-27.947877,153.380878,2011-11-22,0,0,0,0,0,0,0,0,0,0,"spring","2011_spring",2011,0,195067.072872392,47801.846588103,"pre",0,0,0,0,50000
"Arundal, Biggera Creek","QLD",-27.947877,153.380878,2011-12-19,45,405,0,1,0,450,1,1,0,0,"summer","2011_summer",2011,0,195067.072872392,47801.846588103,"pre",0,0,0,0,50000
"Arundal, Biggera Creek","QLD",-27.947877,153.380878,2012-03-16,0,0,0,0,0,0,0,0,0,0,"autumn","2012_autumn",2012,0,195067.072872392,47801.846588103,"pre",0,0,0,0,50000
"Arundal, Biggera Creek","QLD",-27.947877,153.380878,2012-01-20,0,0,0,0,0,0,0,0,0,0,"summer","2012_summer",2012,0,195067.072872392,47801.846588103,"pre",0,0,0,0,50000
"Bargara, Larder Street","QLD",-24.83164,152.46889,2011-09-16,30,12000,100,1,0,12130,1,1,1,0,"spring","2011_spring",2011,0,123497.069032346,34919.121559599,"pre",0,0,0,0,50000
"Bargara, Larder Street","QLD",-24.83164,152.46889,2011-10-21,20,6650,0,1,0,6670,1,1,0,0,"spring","2011_spring",2011,0,123497.069032346,34919.121559599,"pre",0,0,0,0,50000
"Bargara, Larder Street","QLD",-24.83164,152.46889,2011-11-18,0,4900,0,1,0,4900,0,1,0,0,"spring","2011_spring",2011,0,123497.069032346,34919.121559599,"pre",0,0,0,0,50000
"Bargara, Larder Street","QLD",-24.83164,152.46889,2012-01-20,0,700,0,1,0,700,0,1,0,0,"summer","2012_summer",2012,0,123497.069032346,34919.121559599,"pre",0,0,0,0,50000
"Bargara, Larder Street","QLD",-24.83164,152.46889,2012-02-17,0,700,0,1,0,700,0,1,0,0,"summer","2012_summer",2012,0,123497.069032346,34919.121559599,"pre",0,0,0,0,50000
"Bargara, Larder Street","QLD",-24.83164,152.46889,2012-03-16,0,3000,0,1,0,3000,0,1,0,0,"autumn","2012_autumn",2012,0,123497.069032346,34919.121559599,"pre",0,0,0,0,50000
"Bargara, Larder Street","QLD",-24.83164,152.46889,2012-04-20,0,4500,0,1,0,4500,0,1,0,0,"autumn","2012_autumn",2012,0,123497.069032346,34919.121559599,"pre",0,0,0,0,50000
"Bargara, Larder Street","QLD",-24.83164,152.46889,2012-05-18,50,5000,0,1,0,5050,1,1,0,0,"autumn","2012_autumn",2012,0,123497.069032346,34919.121559599,"pre",0,0,0,0,50000
"Bargara, Larder Street","QLD",-24.83164,152.46889,2012-06-13,1000,4000,0,1,0,5000,1,1,0,0,"winter","2012_winter",2012,0,123497.069032346,34919.121559599,"pre",0,0,0,0,50000
"Bargara, Larder Street","QLD",-24.83164,152.46889,2012-07-20,0,0,0,0,0,0,0,0,0,0,"winter","2012_winter",2012,0,123497.069032346,34919.121559599,"pre",0,0,0,0,50000
"Bargara, Larder Street","QLD",-24.83164,152.46889,2012-08-17,53,3497,0,1,0,3550,1,1,0,0,"winter","2012_winter",2012,0,123497.069032346,34919.121559599,"pre",0,0,0,0,50000
"Beenleigh, Logan St","QLD",-27.708984,153.196341,2012-03-16,0,4000,0,1,0,4000,0,1,0,0,"autumn","2012_autumn",2012,0,206006.880442295,59793.7062533431,"pre",0,0,0,0,50000
"Beenleigh, Logan St","QLD",-27.708984,153.196341,2012-03-06,80,320,0,1,0,400,1,1,0,0,"autumn","2012_autumn",2012,0,206006.880442295,59793.7062533431,"pre",0,0,0,0,50000
"Birkdale, Tarradarrapin","QLD",-27.5026,153.2263,2011-09-16,0,150,0,1,0,150,0,1,0,0,"spring","2011_spring",2011,0,187967.812074007,65490.990509965,"pre",0,0,0,0,50000
"Birkdale, Tarradarrapin","QLD",-27.5026,153.2263,2011-10-23,0,300,0,1,0,300,0,1,0,0,"spring","2011_spring",2011,0,187967.812074007,65490.990509965,"pre",0,0,0,0,50000
"Birkdale, Tarradarrapin","QLD",-27.5026,153.2263,2011-11-18,0,0,0,0,0,0,0,0,0,0,"spring","2011_spring",2011,0,187967.812074007,65490.990509965,"pre",0,0,0,0,50000
"Birkdale, Tarradarrapin","QLD",-27.5026,153.2263,2011-12-17,0,200,0,1,0,200,0,1,0,0,"summer","2011_summer",2011,0,187967.812074007,65490.990509965,"pre",0,0,0,0,50000
"Birkdale, Tarradarrapin","QLD",-27.5026,153.2263,2012-01-21,0,0,0,0,0,0,0,0,0,0,"summer","2012_summer",2012,0,187967.812074007,65490.990509965,"pre",0,0,0,0,50000
"Boonah, Bicentenial Park","QLD",-27.99191,152.679877,2012-07-20,420,280,0,1,0,700,1,1,0,0,"winter","2012_winter",2012,0,283791.262053809,98462.099843362,"pre",0,0,0,0,50000
"Boonah, Bicentenial Park","QLD",-27.99191,152.679877,2011-10-24,1400,600,0,1,0,2000,1,1,0,0,"spring","2011_spring",2011,0,283791.262053809,98462.099843362,"pre",0,0,0,0,50000
"Boonah, Bicentenial Park","QLD",-27.99191,152.679877,2012-05-21,1800,1200,0,1,0,3000,1,1,0,0,"autumn","2012_autumn",2012,0,283791.262053809,98462.099843362,"pre",0,0,0,0,50000
"Boonah, Bicentenial Park","QLD",-27.99191,152.679877,2012-06-15,1500,1000,0,1,0,2500,1,1,0,0,"winter","2012_winter",2012,0,283791.262053809,98462.099843362,"pre",0,0,0,0,50000
"Boonah, Bicentenial Park","QLD",-27.99191,152.679877,2011-09-16,800,200,0,1,0,1000,1,1,0,0,"spring","2011_spring",2011,0,283791.262053809,98462.099843362,"pre",0,0,0,0,50000
"Boonah, Bicentenial Park","QLD",-27.99191,152.679877,2012-02-19,1050,450,0,1,0,1500,1,1,0,0,"summer","2012_summer",2012,0,283791.262053809,98462.099843362,"pre",0,0,0,0,50000
"Boonah, Bicentenial Park","QLD",-27.99191,152.679877,2011-11-20,1400,600,0,1,0,2000,1,1,0,0,"spring","2011_spring",2011,0,283791.262053809,98462.099843362,"pre",0,0,0,0,50000
"Boonah, Bicentenial Park","QLD",-27.99191,152.679877,2011-12-20,1400,600,0,1,0,2000,1,1,0,0,"summer","2011_summer",2011,0,283791.262053809,98462.099843362,"pre",0,0,0,0,50000
"Boonah, Bicentenial Park","QLD",-27.99191,152.679877,2012-01-20,8400,3600,0,1,0,12000,1,1,0,0,"summer","2012_summer",2012,0,283791.262053809,98462.099843362,"pre",0,0,0,0,50000
"Boonah, Bicentenial Park","QLD",-27.99191,152.679877,2012-03-18,1330,570,0,1,0,1900,1,1,0,0,"autumn","2012_autumn",2012,0,283791.262053809,98462.099843362,"pre",0,0,0,0,50000
"Broadbeach, Cascade Gardens","QLD",-28.0222,153.4277,2011-09-16,0,800,0,1,0,800,0,1,0,0,"spring","2011_spring",2011,0,188786.822978548,41218.664001575,"pre",0,0,0,0,50000
"Broadbeach, Cascade Gardens","QLD",-28.0222,153.4277,2012-07-20,0,120,0,1,0,120,0,1,0,0,"winter","2012_winter",2012,0,188786.822978548,41218.664001575,"pre",0,0,0,0,50000
"Broadbeach, Cascade Gardens","QLD",-28.0222,153.4277,2012-08-17,0,250,0,1,0,250,0,1,0,0,"winter","2012_winter",2012,0,188786.822978548,41218.664001575,"pre",0,0,0,0,50000
"Broadbeach, Cascade Gardens","QLD",-28.0222,153.4277,2011-11-22,0,770,0,1,0,770,0,1,0,0,"spring","2011_spring",2011,0,188786.822978548,41218.664001575,"pre",0,0,0,0,50000
"Broadbeach, Cascade Gardens","QLD",-28.0222,153.4277,2011-12-19,280,420,0,1,0,700,1,1,0,0,"summer","2011_summer",2011,0,188786.822978548,41218.664001575,"pre",0,0,0,0,50000
"Broadbeach, Cascade Gardens","QLD",-28.0222,153.4277,2012-01-20,0,0,0,0,0,0,0,0,0,0,"summer","2012_summer",2012,0,188786.822978548,41218.664001575,"pre",0,0,0,0,50000
"Broadbeach, Cascade Gardens","QLD",-28.0222,153.4277,2011-10-21,0,0,0,0,0,0,0,0,0,0,"spring","2011_spring",2011,0,188786.822978548,41218.664001575,"pre",0,0,0,0,50000
"Broadbeach, Cascade Gardens","QLD",-28.0222,153.4277,2012-03-16,0,750,0,1,0,750,0,1,0,0,"autumn","2012_autumn",2012,0,188786.822978548,41218.664001575,"pre",0,0,0,0,50000
"Broadbeach, Cascade Gardens","QLD",-28.0222,153.4277,2012-04-19,48,902,0,1,0,950,1,1,0,0,"autumn","2012_autumn",2012,0,188786.822978548,41218.664001575,"pre",0,0,0,0,50000
"Broadbeach, Cascade Gardens","QLD",-28.0222,153.4277,2012-05-18,0,1000,0,1,0,1000,0,1,0,0,"autumn","2012_autumn",2012,0,188786.822978548,41218.664001575,"pre",0,0,0,0,50000
"Broadbeach, Cascade Gardens","QLD",-28.0222,153.4277,2012-02-17,0,730,0,1,0,730,0,1,0,0,"summer","2012_summer",2012,0,188786.822978548,41218.664001575,"pre",0,0,0,0,50000
"Broadbeach, Cascade Gardens","QLD",-28.0222,153.4277,2012-06-15,0,300,0,1,0,300,0,1,0,0,"winter","2012_winter",2012,0,188786.822978548,41218.664001575,"pre",0,0,0,0,50000
"Brookstead, 1589 Pampas Horrane Rd","QLD",-27.69509,151.30853,2011-10-21,0,0,0,0,0,0,0,0,0,0,"spring","2011_spring",2011,0,10515.65377515,3881.57198925,"pre",0,0,0,0,50000
"Brookstead, 1589 Pampas Horrane Rd","QLD",-27.69509,151.30853,2012-01-24,0,0,0,0,0,0,0,0,0,0,"summer","2012_summer",2012,0,10515.65377515,3881.57198925,"pre",0,0,0,0,50000
"Brookstead, 1589 Pampas Horrane Rd","QLD",-27.69509,151.30853,2012-04-17,0,0,0,0,0,0,0,0,0,0,"autumn","2012_autumn",2012,0,10515.65377515,3881.57198925,"pre",0,0,0,0,50000
"Brookstead, 1589 Pampas Horrane Rd","QLD",-27.69509,151.30853,2012-07-18,0,0,0,0,0,0,0,0,0,0,"winter","2012_winter",2012,0,10515.65377515,3881.57198925,"pre",0,0,0,0,50000
"Bundaberg, Harriet Island/Don Tallon Bridge","QLD",-24.8615,152.3387,2012-05-18,50,2000,0,1,0,2050,1,1,0,0,"autumn","2012_autumn",2012,0,181704.42188147,48379.420516829,"pre",0,0,0,0,50000
"Bundaberg, Harriet Island/Don Tallon Bridge","QLD",-24.8615,152.3387,2012-06-13,750,2300,0,1,0,3050,1,1,0,0,"winter","2012_winter",2012,0,181704.42188147,48379.420516829,"pre",0,0,0,0,50000
"Bundaberg, Harriet Island/Don Tallon Bridge","QLD",-24.8615,152.3387,2012-07-23,4000,3000,0,1,0,7000,1,1,0,0,"winter","2012_winter",2012,0,181704.42188147,48379.420516829,"pre",0,0,0,0,50000
"Bundaberg, Harriet Island/Don Tallon Bridge","QLD",-24.8615,152.3387,2012-04-20,1,4000,0,1,0,4001,1,1,0,0,"autumn","2012_autumn",2012,0,181704.42188147,48379.420516829,"pre",0,0,0,0,50000
"Bundaberg, Harriet Island/Don Tallon Bridge","QLD",-24.8615,152.3387,2011-09-04,1000,3000,350,1,0,4350,1,1,1,0,"spring","2011_spring",2011,0,181704.42188147,48379.420516829,"pre",0,0,0,0,50000
"Bundaberg, Harriet Island/Don Tallon Bridge","QLD",-24.8615,152.3387,2011-09-16,300,2300,800,1,0,3400,1,1,1,0,"spring","2011_spring",2011,0,181704.42188147,48379.420516829,"pre",0,0,0,0,50000
"Bundaberg, Harriet Island/Don Tallon Bridge","QLD",-24.8615,152.3387,2011-10-21,50,10000,2200,1,0,12250,1,1,1,0,"spring","2011_spring",2011,0,181704.42188147,48379.420516829,"pre",0,0,0,0,50000
"Bundaberg, Harriet Island/Don Tallon Bridge","QLD",-24.8615,152.3387,2011-11-18,0,9600,1200,1,0,10800,0,1,1,0,"spring","2011_spring",2011,0,181704.42188147,48379.420516829,"pre",0,0,0,0,50000
"Bundaberg, Harriet Island/Don Tallon Bridge","QLD",-24.8615,152.3387,2011-12-16,0,8950,734,1,0,9684,0,1,1,0,"summer","2011_summer",2011,0,181704.42188147,48379.420516829,"pre",0,0,0,0,50000
"Bundaberg, Harriet Island/Don Tallon Bridge","QLD",-24.8615,152.3387,2012-01-20,0,7150,5075,1,0,12225,0,1,1,0,"summer","2012_summer",2012,0,181704.42188147,48379.420516829,"pre",0,0,0,0,50000
"Bundaberg, Harriet Island/Don Tallon Bridge","QLD",-24.8615,152.3387,2012-02-17,0,15000,3e+05,1,0,315000,0,1,1,0,"summer","2012_summer",2012,0,181704.42188147,48379.420516829,"pre",0,0,0,0,50000
"Bundaberg, Harriet Island/Don Tallon Bridge","QLD",-24.8615,152.3387,2012-03-16,0,7000,1400,1,0,8400,0,1,1,0,"autumn","2012_autumn",2012,0,181704.42188147,48379.420516829,"pre",0,0,0,0,50000
"Bundaberg, Harriet Island/Don Tallon Bridge","QLD",-24.8615,152.3387,2012-08-17,2500,4000,0,1,0,6500,1,1,0,0,"winter","2012_winter",2012,0,181704.42188147,48379.420516829,"pre",0,0,0,0,50000
"Bundamba, Paice St","QLD",-27.612423,152.81273,2012-02-08,0,450,0,1,0,450,0,1,0,0,"summer","2012_summer",2012,0,220063.205102881,77862.5563201154,"pre",0,0,0,0,50000
"Bundamba, Paice St","QLD",-27.612423,152.81273,2012-02-17,0,225,0,1,0,225,0,1,0,0,"summer","2012_summer",2012,0,220063.205102881,77862.5563201154,"pre",0,0,0,0,50000
"Bundamba, Paice St","QLD",-27.612423,152.81273,2012-03-16,0,225,0,1,0,225,0,1,0,0,"autumn","2012_autumn",2012,0,220063.205102881,77862.5563201154,"pre",0,0,0,0,50000
"Bundamba, Paice St","QLD",-27.612423,152.81273,2012-04-20,0,11,0,1,0,11,0,1,0,0,"autumn","2012_autumn",2012,0,220063.205102881,77862.5563201154,"pre",0,0,0,0,50000
"Bundamba, Paice St","QLD",-27.612423,152.81273,2012-05-18,0,20,0,1,0,20,0,1,0,0,"autumn","2012_autumn",2012,0,220063.205102881,77862.5563201154,"pre",0,0,0,0,50000
"Bundamba, Paice St","QLD",-27.612423,152.81273,2012-06-15,0,81,0,1,0,81,0,1,0,0,"winter","2012_winter",2012,0,220063.205102881,77862.5563201154,"pre",0,0,0,0,50000
"Bundamba, Paice St","QLD",-27.612423,152.81273,2012-07-20,40,80,0,1,0,120,1,1,0,0,"winter","2012_winter",2012,0,220063.205102881,77862.5563201154,"pre",0,0,0,0,50000
"Bundamba, Paice St","QLD",-27.612423,152.81273,2012-08-17,40,80,0,1,0,120,1,1,0,0,"winter","2012_winter",2012,0,220063.205102881,77862.5563201154,"pre",0,0,0,0,50000
"Burleigh, Marymount College","QLD",-28.0946,153.4292,2011-10-21,240,960,0,1,0,1200,1,1,0,0,"spring","2011_spring",2011,0,205274.664588034,40935.720358409,"pre",0,0,0,0,50000
"Burleigh, Marymount College","QLD",-28.0946,153.4292,2011-11-22,400,3600,0,1,0,4000,1,1,0,0,"spring","2011_spring",2011,0,205274.664588034,40935.720358409,"pre",0,0,0,0,50000
