"value","cumul_area","fires","prop","year"
19.36,260856.64,13474,0.0348735787476674,"2019-2020"
38.72,400945.6,3618,0.0536018862894605,"2019-2020"
58.08,519661.12,2044,0.0694728069426219,"2019-2020"
77.44,611040.32,1180,0.0816891711766274,"2019-2020"
96.8,691771.52,834,0.0924820183918399,"2019-2020"
116.16,765068.48,631,0.102280991906659,"2019-2020"
135.52,831337.76,489,0.111140444189074,"2019-2020"
154.88,887094.56,360,0.118594496942027,"2019-2020"
174.24,943896.8,326,0.126188313184097,"2019-2020"
193.6,985714.4,216,0.131778852748811,"2019-2020"
212.96,1025750.88,188,0.137131276739473,"2019-2020"
232.32,1065245.28,170,0.142411230772814,"2019-2020"
251.68,1096201.92,123,0.14654978297836,"2019-2020"
271.04,1122492.8,97,0.150064575908398,"2019-2020"
290.4,1150371.2,96,0.153791602284874,"2019-2020"
309.76,1174842.24,79,0.157063103215337,"2019-2020"
329.12,1207096,98,0.161375065675899,"2019-2020"
348.48,1229398.72,64,0.16435668677708,"2019-2020"
367.84,1251101.28,59,0.167258073282656,"2019-2020"
387.2,1277043.68,67,0.170726278382988,"2019-2020"
406.56,1298997.92,54,0.173661311654463,"2019-2020"
425.92,1321997.6,54,0.176736108415056,"2019-2020"
445.28,1341589.92,44,0.179355379729635,"2019-2020"
464.64,1358316.96,36,0.181591595555521,"2019-2020"
484,1373320.96,31,0.183597460445638,"2019-2020"
503.36,1388925.12,31,0.185683559931361,"2019-2020"
522.72,1400424.96,22,0.187220958311657,"2019-2020"
542.08,1418855.68,34,0.18968493686055,"2019-2020"
561.44,1432891.68,25,0.191561391112595,"2019-2020"
580.8,1441603.68,15,0.192726086855244,"2019-2020"
600.16,1459008.32,29,0.19505289012778,"2019-2020"
619.52,1470159.68,18,0.196543700678371,"2019-2020"
638.88,1483576.16,21,0.19833733212205,"2019-2020"
658.24,1494766.24,17,0.199833319098163,"2019-2020"
677.6,1505607.84,16,0.201282718244571,"2019-2020"
696.96,1521637.92,23,0.203425758411044,"2019-2020"
716.32,1529517.44,11,0.204479161004951,"2019-2020"
735.68,1541288.32,16,0.206052794363908,"2019-2020"
755.04,1550348.8,12,0.207264077936263,"2019-2020"
774.4,1564288,18,0.209127591124501,"2019-2020"
793.76,1573813.12,12,0.21040099180313,"2019-2020"
813.12,1579504.96,7,0.211161926354994,"2019-2020"
832.48,1590327.2,13,0.21260873728864,"2019-2020"
851.84,1598845.6,10,0.213747550903674,"2019-2020"
871.2,1606686.4,9,0.214795777072058,"2019-2020"
890.56,1613810.88,8,0.215748239368269,"2019-2020"
909.92,1623820,11,0.217086345365934,"2019-2020"
929.28,1634971.36,12,0.218577155916525,"2019-2020"
948.64,1640663.2,6,0.219338090468389,"2019-2020"
968,1651311.2,11,0.220761607487182,"2019-2020"
987.36,1663159.52,12,0.222345593697184,"2019-2020"
1006.72,1670206.56,7,0.223287703142349,"2019-2020"
1026.08,1676363.04,6,0.224110754800488,"2019-2020"
1045.44,1681590.24,5,0.224809572246077,"2019-2020"
1064.8,1692238.24,10,0.22623308926487,"2019-2020"
1084.16,1699827.36,7,0.227247668667355,"2019-2020"
1103.52,1707552,7,0.22828036555917,"2019-2020"
1122.88,1715412.16,7,0.229331179940316,"2019-2020"
1142.24,1723407.84,7,0.230400111810791,"2019-2020"
1161.6,1731539.04,7,0.231487161170597,"2019-2020"
1180.96,1745710.56,12,0.233381732911972,"2019-2020"
1200.32,1750511.84,4,0.23402360967681,"2019-2020"
1219.68,1760269.28,8,0.235328068908577,"2019-2020"
1239.04,1768942.56,7,0.236487588225703,"2019-2020"
1258.4,1777751.36,7,0.237665225032159,"2019-2020"
1277.76,1784140.16,5,0.238519335243434,"2019-2020"
1297.12,1790625.76,5,0.239386386518517,"2019-2020"
1316.48,1805107.04,11,0.241322369664076,"2019-2020"
1335.84,1806442.88,1,0.241500956344615,"2019-2020"
1355.2,1810508.48,3,0.242044481024518,"2019-2020"
1374.56,1818755.84,6,0.243147059660892,"2019-2020"
1393.92,1822937.6,3,0.243706113617364,"2019-2020"
1413.28,1828590.72,4,0.244461871743705,"2019-2020"
1432.64,1834321.28,4,0.245227982721092,"2019-2020"
1452,1838677.28,3,0.245810330592416,"2019-2020"
1471.36,1847505.44,6,0.246990555611634,"2019-2020"
1490.72,1853468.32,4,0.247787725142158,"2019-2020"
1510.08,1864038.88,7,0.249200889309905,"2019-2020"
1529.44,1870156.64,4,0.25001876454252,"2019-2020"
1548.8,1871705.44,1,0.250225821563436,"2019-2020"
1568.16,1879546.24,5,0.25127404773182,"2019-2020"
1587.52,1887483.84,5,0.252335214964011,"2019-2020"
1606.88,1892304.48,3,0.25297967994161,"2019-2020"
1626.24,1905314.4,8,0.254718958917299,"2019-2020"
1645.6,1918479.2,8,0.256478943595079,"2019-2020"
1664.96,1936793.76,11,0.258927392867403,"2019-2020"
1684.32,1945215.36,5,0.26005326541863,"2019-2020"
1703.68,1950326.4,3,0.260736553587651,"2019-2020"
1723.04,1955495.52,3,0.261427606394956,"2019-2020"
1742.4,1957237.92,1,0.261660545543486,"2019-2020"
1761.76,1962523.2,3,0.262367127627359,"2019-2020"
1781.12,1964304.32,1,0.262605243201412,"2019-2020"
1800.48,1967905.28,2,0.26308665077504,"2019-2020"
1819.84,1969725.12,1,0.263329942774616,"2019-2020"
1839.2,1975242.72,3,0.264067583411627,"2019-2020"
1858.56,1986394.08,6,0.265558393962217,"2019-2020"
1877.92,1992027.84,3,0.266311563875797,"2019-2020"
1897.28,1997719.68,3,0.267072498427661,"2019-2020"
1916.64,2005386.24,4,0.268097430681192,"2019-2020"
1955.36,2009296.96,2,0.268620249659003,"2019-2020"
1974.72,2019170.56,5,0.269940238167338,"2019-2020"
1994.08,2023158.72,2,0.270473409996195,"2019-2020"
2013.44,2029199.04,3,0.271280932377765,"2019-2020"
2032.8,2037330.24,4,0.272367981737571,"2019-2020"
2052.16,2043486.72,3,0.273191033395709,"2019-2020"
2071.52,2045558.24,1,0.273467972161184,"2019-2020"
2090.88,2051830.88,3,0.274306553095891,"2019-2020"
2129.6,2053960.48,1,0.274591256499649,"2019-2020"
2168.32,2060465.44,3,0.275460895987494,"2019-2020"
2187.68,2071403.84,5,0.276923236197708,"2019-2020"
2207.04,2073610.88,1,0.277218292452513,"2019-2020"
2226.4,2082516.48,4,0.278408870322776,"2019-2020"
2245.76,2087008,2,0.279009335683431,"2019-2020"
2284.48,2089292.48,1,0.279314744789281,"2019-2020"
2303.84,2091596.32,1,0.279622742107892,"2019-2020"
2323.2,2096242.72,2,0.280243913170638,"2019-2020"
2342.56,2098585.28,1,0.280557086914773,"2019-2020"
2381.28,2100966.56,1,0.28087543708443,"2019-2020"
2400.64,2105767.84,2,0.281517313849268,"2019-2020"
2420,2110607.84,2,0.282164367039628,"2019-2020"
2439.36,2120365.28,4,0.283468826271395,"2019-2020"
2458.72,2122824,1,0.283797529292098,"2019-2020"
2478.08,2125302.08,1,0.284128820525563,"2019-2020"
2497.44,2127799.52,1,0.284462699971789,"2019-2020"
2555.52,2132910.56,2,0.285145988140809,"2019-2020"
2574.88,2138060.32,2,0.285834452735353,"2019-2020"
2613.6,2143287.52,2,0.286533270180942,"2019-2020"
2632.96,2145920.48,1,0.286885267116498,"2019-2020"
2671.68,2148592.16,1,0.287242440477577,"2019-2020"
2691.04,2153974.24,2,0.287961963625258,"2019-2020"
2729.76,2159433.76,2,0.288691839623984,"2019-2020"
2787.84,2162221.6,1,0.289064542261632,"2019-2020"
2807.2,2176257.6,5,0.290940996513677,"2019-2020"
2826.56,2179084.16,1,0.291318875576848,"2019-2020"
2845.92,2181930.08,1,0.29169934285278,"2019-2020"
2865.28,2184795.36,1,0.292082398341473,"2019-2020"
2904,2187699.36,1,0.29247063025569,"2019-2020"
2942.72,2190642.08,1,0.292864038595429,"2019-2020"
2962.08,2193604.16,1,0.293260035147929,"2019-2020"
2981.44,2199567.04,2,0.294057204678453,"2019-2020"
3000.8,2202567.84,1,0.294458377656477,"2019-2020"
3039.52,2208646.88,2,0.29527107646357,"2019-2020"
3058.88,2214764.64,2,0.296088951696185,"2019-2020"
3097.6,2220959.84,2,0.296917179779847,"2019-2020"
3116.96,2227193.76,2,0.297750584289031,"2019-2020"
3136.32,2230330.08,1,0.298169874756385,"2019-2020"
3155.68,2236641.44,2,0.299013632116615,"2019-2020"
3194.4,2239835.84,1,0.299440687222252,"2019-2020"
3252.48,2246340.8,2,0.300310326710097,"2019-2020"
3271.84,2249612.64,1,0.300747734666781,"2019-2020"
3329.92,2252942.56,1,0.301192907261749,"2019-2020"
3388,2259718.56,2,0.302098781728253,"2019-2020"
3407.36,2266533.28,2,0.303009832620281,"2019-2020"
3446.08,2269979.36,1,0.303470534491817,"2019-2020"
3465.44,2276910.24,2,0.304397114660414,"2019-2020"
3484.8,2280395.04,1,0.304862992957473,"2019-2020"
3504.16,2290907.52,3,0.306268392486936,"2019-2020"
3542.88,2294450.4,1,0.30674203542228,"2019-2020"
3581.6,2301613.6,2,0.307699674144013,"2019-2020"
3639.68,2305253.28,1,0.308186258143164,"2019-2020"
3659.04,2312571.36,2,0.309164602566989,"2019-2020"
3697.76,2319966.88,2,0.31015329984186,"2019-2020"
3717.12,2323684,1,0.310650236692057,"2019-2020"
3755.84,2327439.84,1,0.311152349967777,"2019-2020"
3794.56,2331234.4,1,0.311659639669019,"2019-2020"
3813.92,2335048.32,1,0.312169517583023,"2019-2020"
3872,2342792.32,2,0.3132048026876,"2019-2020"
3930.08,2350652.48,2,0.314255617068746,"2019-2020"
3968.8,2354621.28,1,0.314786200684841,"2019-2020"
4046.24,2362713.76,2,0.315868073619124,"2019-2020"
4065.6,2370844.96,2,0.316955122978929,"2019-2020"
4084.96,2374929.92,1,0.317501235871594,"2019-2020"
4162.4,2383254.72,2,0.318614167359014,"2019-2020"
4201.12,2391656.96,2,0.319737451697479,"2019-2020"
4433.44,2396090.4,1,0.32033015241985,"2019-2020"
4472.16,2400562.56,1,0.320928029567743,"2019-2020"
4510.88,2405073.44,1,0.321531083141159,"2019-2020"
4549.6,2409623.04,1,0.322139313140097,"2019-2020"
4704.48,2414327.52,1,0.322768248841128,"2019-2020"
4723.84,2419051.36,1,0.32339977275492,"2019-2020"
4762.56,2428576.48,2,0.324673173433549,"2019-2020"
4878.72,2433455.2,1,0.325325403049432,"2019-2020"
4917.44,2443290.08,2,0.326640215132245,"2019-2020"
4975.52,2448265.6,1,0.327305385811935,"2019-2020"
5227.2,2453492.8,1,0.328004203257525,"2019-2020"
5285.28,2458778.08,1,0.328710785341398,"2019-2020"
5362.72,2464140.8,1,0.329427720276318,"2019-2020"
5382.08,2474904.96,2,0.330866766571679,"2019-2020"
5401.44,2485707.84,2,0.332310989292564,"2019-2020"
5556.32,2491264.16,1,0.333053806355098,"2019-2020"
5653.12,2496917.28,1,0.333809564481439,"2019-2020"
5672.48,2502589.76,1,0.334567910820541,"2019-2020"
5730.56,2508320.32,1,0.335334021797928,"2019-2020"
5749.92,2514070.24,1,0.336102720988076,"2019-2020"
5769.28,2519839.52,1,0.336874008390986,"2019-2020"
5827.36,2531494.24,2,0.338432112473374,"2019-2020"
5866.08,2537360.32,1,0.339216340940091,"2019-2020"
5885.44,2543245.76,1,0.340003157619569,"2019-2020"
5924.16,2555094.08,2,0.341587143829571,"2019-2020"
5943.52,2561037.6,1,0.342381725147334,"2019-2020"
5982.24,2573002.08,2,0.343981240633905,"2019-2020"
6001.6,2579003.68,1,0.344783586589952,"2019-2020"
6079.04,2585082.72,1,0.345596285397045,"2019-2020"
6214.56,2591297.28,1,0.346427101693468,"2019-2020"
6233.92,2597531.2,1,0.347260506202652,"2019-2020"
6466.24,2603997.44,1,0.348124969264973,"2019-2020"
6524.32,2610521.76,1,0.348997196965579,"2019-2020"
6640.48,2617162.24,1,0.349884953942754,"2019-2020"
6659.84,2623822.08,1,0.35077529913269,"2019-2020"
6853.44,2630675.52,1,0.35169152645024,"2019-2020"
6969.6,2637645.12,1,0.352623283044359,"2019-2020"
7105.12,2644750.24,1,0.353573157127809,"2019-2020"
7124.48,2651874.72,1,0.354525619424019,"2019-2020"
7182.56,2659057.28,1,0.355485846358514,"2019-2020"
7240.64,2666297.92,1,0.356453837931293,"2019-2020"
7453.6,2673751.52,1,0.357450299844448,"2019-2020"
7492.32,2681243.84,1,0.358451938183126,"2019-2020"
7511.68,2688755.52,1,0.359456164734566,"2019-2020"
7531.04,2696286.56,1,0.360462979498767,"2019-2020"
